Date/Time,Start,End,Total Sleep (hr),Asleep (Unspecified) (hr),In Bed (hr),Core (hr),Deep (hr),REM (hr),Awake (hr),Sources
2024-01-01,2024-01-01 02:21:30 -0500,2024-01-01 07:06:30 -0500,3.81,0,4.75,2.94,0.633,0.233,0.942,Oura
2024-01-02,2024-01-01 23:48:28 -0500,2024-01-02 13:23:28 -0500,10.15,0,13.58,5.47,1.4,3.28,3.43,Oura
2024-01-03,2024-01-03 01:17:30 -0500,2024-01-03 07:29:30 -0500,5.07,0,6.2,3.32,0.633,1.12,1.13,Oura
2024-01-04,2024-01-04 00:38:00 -0500,2024-01-04 08:14:00 -0500,6.51,0,7.6,3.2,1.18,2.12,1.09,Oura
2024-01-05,2024-01-05 00:20:02 -0500,2024-01-05 09:06:02 -0500,7.64,0,8.77,3.82,1.09,2.73,1.13,Oura
2024-01-06,2024-01-06 01:36:00 -0500,2024-01-06 08:44:00 -0500,6.37,0,7.13,3.71,1.01,1.65,0.767,Oura
2024-01-07,2024-01-06 22:21:01 -0500,2024-01-07 08:47:31 -0500,8.21,0,10.44,5.5,1.21,1.5,2.23,Oura
2024-01-08,2024-01-08 01:17:59 -0500,2024-01-08 09:38:59 -0500,7.07,0,8.35,3.91,0.942,2.22,1.28,Oura
2024-01-09,2024-01-09 01:33:00 -0500,2024-01-09 08:01:00 -0500,5.66,0,6.47,3.28,0.867,1.51,0.808,Oura
2024-01-10,2024-01-10 04:52:31 -0500,2024-01-10 10:14:31 -0500,3.74,0,5.37,1.97,1.06,0.717,1.62,Oura
2024-01-11,2024-01-11 00:47:33 -0500,2024-01-11 08:55:03 -0500,7.07,0,8.12,4.25,1.57,1.26,1.05,Oura
2024-01-12,2024-01-12 01:59:30 -0500,2024-01-12 09:01:30 -0500,6.02,0,7.03,3.18,1.45,1.39,1.01,Oura
2024-01-13,2024-01-13 01:31:58 -0500,2024-01-13 09:54:58 -0500,7.37,0,8.38,4.42,0.975,1.98,1.01,Oura
2024-01-14,2024-01-13 23:38:59 -0500,2024-01-14 08:52:59 -0500,8.08,0,9.23,5.61,0.792,1.67,1.16,Oura
2024-01-15,2024-01-14 22:35:00 -0500,2024-01-15 08:30:02 -0500,0,0,9.74,0,0,0,0,Alexis’ iPhone 12 Mini (2)
2024-01-16,2024-01-15 22:09:31 -0500,2024-01-16 06:27:31 -0500,6,0,8.3,4.4,0.65,0.95,2.3,Oura
2024-01-17,2024-01-17 05:38:32 -0500,2024-01-17 10:13:32 -0500,3.97,0,4.58,2.14,1.02,0.817,0.608,Oura
2024-01-18,2024-01-17 22:35:02 -0500,2024-01-18 07:34:02 -0500,8,0,8.98,4.77,1.12,2.12,0.983,Oura
2024-01-19,2024-01-18 23:04:58 -0500,2024-01-19 10:25:58 -0500,7.37,0,11.35,5.5,0.625,1.25,3.97,Oura
2024-01-20,2024-01-19 22:46:29 -0500,2024-01-20 09:07:29 -0500,8.39,0,10.35,5.96,0.867,1.57,1.96,Oura
2024-01-21,2024-01-20 23:59:58 -0500,2024-01-21 07:47:28 -0500,6.97,0,7.79,4.56,0.867,1.54,0.825,Oura
2024-01-22,2024-01-22 00:17:00 -0500,2024-01-22 08:35:00 -0500,6.41,0,8.3,3.82,1.06,1.53,1.89,Oura
2024-01-23,2024-01-22 21:58:02 -0500,2024-01-23 06:56:02 -0500,7.38,0,8.97,4.98,1.02,1.38,1.58,Oura
2024-01-24,2024-01-23 23:22:59 -0500,2024-01-24 06:24:29 -0500,5.6,0,7.02,4.06,0.675,0.867,1.43,Oura
2024-01-25,2024-01-24 23:07:02 -0500,2024-01-25 07:58:02 -0500,7.97,0,8.85,4.53,1.18,2.25,0.883,Oura
2024-01-26,2024-01-25 23:05:58 -0500,2024-01-26 08:25:59 -0500,11.16,0,9.33,7.68,1.21,2.27,6.08,Oura
2024-01-27,2024-01-26 23:13:01 -0500,2024-01-27 07:58:01 -0500,7.62,0,8.75,4.42,1.4,1.8,1.13,Oura
2024-01-28,2024-01-27 23:36:57 -0500,2024-01-28 10:05:58 -0500,12.91,0,10.48,8.25,1.09,3.57,4.67,Oura
2024-01-29,2024-01-28 23:52:28 -0500,2024-01-29 06:10:28 -0500,5.77,0,6.3,3.94,0.767,1.06,0.533,Oura
2024-01-30,2024-01-29 22:35:30 -0500,2024-01-30 08:28:00 -0500,6.66,0,9.88,3.81,1.59,1.26,3.22,Oura
2024-01-31,2024-01-30 22:48:06 -0500,2024-01-31 08:30:02 -0500,0,0,9.7,0,0,0,0,Alexis’ iPhone 12 Mini (2)
